Date,Open,High,Low,Close,Volume
03/31/2022,"27.78","28.25","27.27","27.29","523,440,195"
03/30/2022,"28.30","28.50","27.50","27.69","463,487,105"
03/29/2022,"28.69","28.95","27.98","28.66","488,984,405"
03/28/2022,"27.76","28.25","27.21","28.22","425,493,906"
03/25/2022,"27.89","28.36","27.27","27.69","579,016,204"
03/24/2022,"26.17","28.32","25.91","28.15","877,379,131"
03/23/2022,"26.13","26.61","25.58","25.63","502,119,915"
03/22/2022,"26.73","27.24","26.07","26.52","547,007,105"
03/21/2022,"26.51","27.15","25.97","26.73","591,727,104"
03/18/2022,"24.80","26.57","24.62","26.45","730,718,583"
03/17/2022,"24.12","24.84","23.91","24.77","471,941,205"
03/16/2022,"23.50","24.60","23.17","24.50","671,421,713"
03/15/2022,"21.52","23.04","21.32","22.97","491,995,655"
03/14/2022,"21.87","22.26","21.16","21.33","385,354,216"
03/11/2022,"23.02","23.15","22.05","22.10","367,208,586"
03/10/2022,"22.53","22.79","21.88","22.66","428,065,656"
03/09/2022,"22.39","23.22","22.25","23.01","492,741,985"
03/08/2022,"21.31","22.37","20.65","21.51","557,467,184"
03/07/2022,"22.82","23.03","21.33","21.35","450,820,895"
03/04/2022,"23.38","23.68","22.48","22.94","432,010,696"
03/03/2022,"24.26","24.33","23.47","23.71","365,094,996"
03/02/2022,"23.76","24.41","23.42","24.22","389,641,906"
03/01/2022,"24.29","24.38","23.13","23.48","412,056,016"
02/28/2022,"23.99","24.67","23.71","24.39","477,318,585"
02/25/2022,"23.72","24.22","23.38","24.16","528,865,505"
02/24/2022,"21.02","23.80","20.89","23.75","735,800,613"
02/23/2022,"23.80","24.15","22.30","22.39","566,510,774"
02/22/2022,"23.04","24.06","23.00","23.39","633,422,374"
02/18/2022,"24.67","24.99","23.10","23.64","761,254,832"
02/17/2022,"25.63","25.79","24.17","24.51","810,595,152"
02/16/2022,"26.26","26.58","25.55","26.51","732,676,323"
02/15/2022,"24.95","26.55","24.78","26.50","701,752,803"
02/14/2022,"23.93","24.88","23.76","24.27","440,424,406"
02/11/2022,"25.92","26.15","23.77","23.95","605,471,984"
02/10/2022,"26.00","26.92","25.60","25.82","513,199,685"
02/09/2022,"25.62","26.73","25.35","26.71","524,281,675"
02/08/2022,"24.36","25.23","23.98","25.11","410,358,586"
02/07/2022,"24.37","25.18","24.20","24.73","376,867,536"
02/04/2022,"23.97","24.64","23.63","24.32","354,828,476"
02/03/2022,"24.46","25.08","23.78","23.95","410,177,806"
02/02/2022,"25.79","25.82","24.55","25.24","543,419,405"
02/01/2022,"25.10","25.15","23.89","24.64","518,925,195"
01/31/2022,"23.18","24.51","23.05","24.49","564,679,684"
01/28/2022,"22.01","22.86","21.30","22.84","543,774,375"
01/27/2022,"23.57","24.00","21.68","21.94","573,352,724"
01/26/2022,"23.24","24.06","22.30","22.77","755,958,742"
01/25/2022,"22.55","22.94","22.00","22.32","664,616,403"
01/24/2022,"22.33","23.38","20.89","23.37","915,810,541"
01/21/2022,"23.51","24.82","23.26","23.37","718,957,723"
01/20/2022,"25.30","25.58","24.08","24.15","435,180,696"
01/19/2022,"26.08","26.54","25.05","25.07","488,314,485"
01/18/2022,"26.26","26.64","25.77","25.90","425,306,206"
01/14/2022,"26.30","27.20","26.21","26.94","395,832,376"
01/13/2022,"28.38","28.48","26.50","26.58","538,868,115"
01/12/2022,"28.07","28.60","27.61","28.00","383,413,516"
01/11/2022,"27.32","28.07","26.84","27.82","404,089,296"
01/10/2022,"26.58","27.47","25.64","27.40","594,680,974"
01/07/2022,"28.14","28.42","27.06","27.25","409,938,476"
01/06/2022,"27.64","28.44","27.07","28.18","454,186,405"
01/05/2022,"28.95","29.42","27.53","27.60","498,063,905"
01/04/2022,"30.28","30.47","28.35","29.29","527,154,405"
01/03/2022,"29.82","30.71","29.79","30.12","392,402,886"
12/31/2021,"29.67","30.03","29.33","29.41","266,529,897"
12/30/2021,"29.83","30.46","29.54","29.59","308,864,197"
